id,assignment_id,question_id,attempt,replay_path,partial,console_log,network_log,recorded_from,recorded_to,created_at
c5dbea5b-6d23-4a8f-8c80-bee39b75a2b0,690183e2-3361-4eaf-b4cb-c24b5e91eedd,d4f33227-d336-43de-a08f-a99789511172,0,/var/evidence/690183e2-3361-4eaf-b4cb-c24b5e91eedd/d4f33227-d336-43de-a08f-a99789511172/0.rrweb,f,[],"[{""ms"": 34, ""url"": ""/api/portal/questionnaires/690183e2-3361-4eaf-b4cb-c24b5e91eedd/answer"", ""status"": 200}]",2026-05-24 04:30:23.546518+00,2026-05-24 04:30:23.558468+00,2026-05-24 04:30:23.546518+00
c4a8a8c9-8b21-4b4e-87fe-5747cdeaab80,690183e2-3361-4eaf-b4cb-c24b5e91eedd,b33ecd40-7c69-46c3-ae2f-27e4b4e71c33,0,/var/evidence/690183e2-3361-4eaf-b4cb-c24b5e91eedd/b33ecd40-7c69-46c3-ae2f-27e4b4e71c33/0.rrweb,f,[],"[{""ms"": 25, ""url"": ""/api/portal/questionnaires/690183e2-3361-4eaf-b4cb-c24b5e91eedd/answer"", ""status"": 200}]",2026-05-24 04:30:23.719293+00,2026-05-24 04:30:23.727168+00,2026-05-24 04:30:23.719293+00
fcf11934-bade-434c-8764-7823dd68353f,690183e2-3361-4eaf-b4cb-c24b5e91eedd,e3a0655c-c37c-4877-b744-ae2d04077c8b,0,/var/evidence/690183e2-3361-4eaf-b4cb-c24b5e91eedd/e3a0655c-c37c-4877-b744-ae2d04077c8b/0.rrweb,f,[],"[{""ms"": 27, ""url"": ""/api/portal/questionnaires/690183e2-3361-4eaf-b4cb-c24b5e91eedd/answer"", ""status"": 200}]",2026-05-24 04:30:23.93577+00,2026-05-24 04:30:23.941199+00,2026-05-24 04:30:23.93577+00
c4ecb597-1b0d-460a-b1bf-08bcc40664ea,690183e2-3361-4eaf-b4cb-c24b5e91eedd,7ae3e1c4-7553-409d-a582-972672ededd4,0,/var/evidence/690183e2-3361-4eaf-b4cb-c24b5e91eedd/7ae3e1c4-7553-409d-a582-972672ededd4/0.rrweb,f,[],"[{""ms"": 30, ""url"": ""/api/portal/questionnaires/690183e2-3361-4eaf-b4cb-c24b5e91eedd/answer"", ""status"": 200}]",2026-05-24 04:30:24.168717+00,2026-05-24 04:30:24.176164+00,2026-05-24 04:30:24.168717+00
9679b91b-2030-4008-be1b-8d4adc8560ff,690183e2-3361-4eaf-b4cb-c24b5e91eedd,020a6ea5-b959-4a16-b646-b38d357e7ba6,0,/var/evidence/690183e2-3361-4eaf-b4cb-c24b5e91eedd/020a6ea5-b959-4a16-b646-b38d357e7ba6/0.rrweb,f,[],"[{""ms"": 30, ""url"": ""/api/portal/questionnaires/690183e2-3361-4eaf-b4cb-c24b5e91eedd/answer"", ""status"": 200}]",2026-05-24 04:30:24.395611+00,2026-05-24 04:30:24.403619+00,2026-05-24 04:30:24.395611+00
85882211-41de-4193-9b21-aad024d93489,690183e2-3361-4eaf-b4cb-c24b5e91eedd,fd57b210-82fd-4665-bb03-0d60395ae7c4,0,/var/evidence/690183e2-3361-4eaf-b4cb-c24b5e91eedd/fd57b210-82fd-4665-bb03-0d60395ae7c4/0.rrweb,f,[],"[{""ms"": 25, ""url"": ""/api/portal/questionnaires/690183e2-3361-4eaf-b4cb-c24b5e91eedd/answer"", ""status"": 200}]",2026-05-24 04:30:24.682716+00,2026-05-24 04:30:24.690606+00,2026-05-24 04:30:24.682716+00
17ee3497-f4c2-4f16-a56c-c6d3b1e3a3cf,f0359249-9019-4628-a01c-83ed6c628f36,c533dd8b-33a6-49a7-9f59-6c21e08e0024,0,/var/evidence/f0359249-9019-4628-a01c-83ed6c628f36/c533dd8b-33a6-49a7-9f59-6c21e08e0024/0.rrweb,f,[],"[{""ms"": 34, ""url"": ""/api/portal/questionnaires/f0359249-9019-4628-a01c-83ed6c628f36/answer"", ""status"": 200}]",2026-05-24 04:30:51.737633+00,2026-05-24 04:30:51.747613+00,2026-05-24 04:30:51.737633+00
f768b785-c060-4e4f-b807-4492df413a1d,f0359249-9019-4628-a01c-83ed6c628f36,b6fad0f6-0b94-4045-8125-8e553376915f,0,/var/evidence/f0359249-9019-4628-a01c-83ed6c628f36/b6fad0f6-0b94-4045-8125-8e553376915f/0.rrweb,f,[],"[{""ms"": 29, ""url"": ""/api/portal/questionnaires/f0359249-9019-4628-a01c-83ed6c628f36/answer"", ""status"": 200}]",2026-05-24 04:30:51.902105+00,2026-05-24 04:30:51.914988+00,2026-05-24 04:30:51.902105+00
e84acff5-c7e8-4334-8eb7-da9c805f4383,f0359249-9019-4628-a01c-83ed6c628f36,0c17c2b2-ceca-440b-93bc-3c692bdf0887,0,/var/evidence/f0359249-9019-4628-a01c-83ed6c628f36/0c17c2b2-ceca-440b-93bc-3c692bdf0887/0.rrweb,f,[],"[{""ms"": 25, ""url"": ""/api/portal/questionnaires/f0359249-9019-4628-a01c-83ed6c628f36/answer"", ""status"": 200}]",2026-05-24 04:30:52.13021+00,2026-05-24 04:30:52.137115+00,2026-05-24 04:30:52.13021+00
d678ca33-4bd3-45e2-8686-62a0f221bd30,f0359249-9019-4628-a01c-83ed6c628f36,3fb697ae-dc29-4dcc-89cf-d08de1cb084e,0,/var/evidence/f0359249-9019-4628-a01c-83ed6c628f36/3fb697ae-dc29-4dcc-89cf-d08de1cb084e/0.rrweb,f,[],"[{""ms"": 27, ""url"": ""/api/portal/questionnaires/f0359249-9019-4628-a01c-83ed6c628f36/answer"", ""status"": 200}]",2026-05-24 04:30:52.356718+00,2026-05-24 04:30:52.361746+00,2026-05-24 04:30:52.356718+00
